oid,aspace_id,bib_id,barcode
2034600,,752400,NULL
2046567,,1169354,NULL
2055095,,1169354,NULL
2041002,,1169354,NULL
2030006,,1264367,NULL
16712419,,1289001,NULL
2004628,,3163155,NULL
16414889,,3577942,39002113596465
14716192,,3798665,39002094341147
11913649,,3827095,39002097273412
11607445,,3832098,NULL
2005512,,4113177,NULL
16570776,,5404463,39002002294065
2057976,,7039963,39002094210060
2019757,,7748458,39002098971741
2019759,,7748458,39002098971758
16301942,,7748458,9002098971766
2107188,,7972227,NULL
16189096,,8317945,39002113593827
16189097,,8330740,39002113593819
15234629,,8394689,
2003431,,9734763,39002091549668
10269867,,9734851,39002091597519
11684565,,9801995,39002091594300
10958722,,9869346,39002104686564
16425155,,9884809,
2111169,,9896328,39002099258734
16156712,,11756910,39002091549304
16162984,,11781026,39002091549445
16173726,,12286028,39002113593728
16371253,,12297336,39002104623971
16371272,,12329381,39002104624045
16057777,,12442385,NULL
16057779,,12442385,NULL
16057780,,12442385,NULL
16371267,,13006050,NULL
2012315,,13226126,39002099391428
16700283,,13640726,39002094365690
16685691,,13881242,
2012143,,13888969,NULL
2012036,/repositories/11/archival_objects/555049,6805375,
10001192,/repositories/11/archival_objects/304086,3659107,
16797069,/repositories/11/archival_objects/608223,3435140,
16854582,/repositories/11/archival_objects/699963,7151233,
16854285,/repositories/11/archival_objects/515305,12307100,
2107188-priv,,7972227,NULL
2107188-priv2,,7972227,NULL
